Category,Count
US,70
DE,37
FI,15
SG,9
NL,9
SE,4
IE,4
ID,4
HK,3
IN,2
BE,2
GB,2
CA,2
KR,2
AT,2
TW,1
LU,1
CL,1
BR,1
MX,1
FR,1
