Category,Count,Percentage
Hetzner,45,26.01
Amazon AWS,37,21.39
TERASWITCH,16,9.25
DigitalOcean,13,7.51
OVH,7,4.05
Google Cloud,5,2.89
WorldStream B.V.,5,2.89
HVC-AS,5,2.89
Akamai Connected Cloud,5,2.89
LATITUDE-SH,4,2.31
Universitas Airlangga,4,2.31
ENTEGA Medianet GmbH,3,1.73
Microsoft Azure,3,1.73
