Category,Count,Percentage
"Comcast Cable Communications, LLC",400,7.27
Charter Communications Inc,244,4.44
KPN B.V.,224,4.07
"AT&T Services, Inc.",199,3.62
Vodafone Libertel B.V.,199,3.62
Others,4233,76.98
