Category,Count
US,1620
GB,565
NL,549
CA,364
DE,354
SE,121
BG,106
TW,105
ES,96
PT,96
IT,80
TH,79
SK,75
IN,72
AU,69
ZA,68
FR,60
CH,59
RS,59
NO,56
BE,56
PL,55
FI,42
SG,39
AT,37
ID,33
PH,32
CZ,32
LT,30
AL,30
HU,28
RO,28
RU,26
OM,25
GR,24
VN,24
MY,22
TR,21
AR,20
MX,19
DK,17
KR,16
IE,15
MK,15
NZ,13
HK,12
SI,12
JP,12
AE,10
BH,10
EG,8
HR,8
MT,7
UA,6
BR,6
BA,5
CN,5
PE,5
SA,5
EE,4
PR,4
LV,4
VE,3
LU,3
PA,2
LK,2
IL,2
KW,2
JE,2
BY,1
CO,1
CL,1
JO,1
DO,1
GT,1
IQ,1
CR,1
