Category,Count,Percentage
OVH,9,16.98
Netcup,8,15.09
Hetzner,7,13.21
DigitalOcean,6,11.32
Amazon,3,5.66
TPG Telecom Limited,3,5.66
IONOS SE,3,5.66
Akamai Connected Cloud,2,3.77
AS-30083-US-VELIA-NET,2,3.77
Host-Africa-AS,2,3.77
Zen Internet Ltd,2,3.77
MyRepublic,2,3.77
